method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N
momentum,0.0001,sgd,1337,0.12459762348818602,0.14644439319222047,50
momentum,0.0001,sgd,31415,0.11641424770355385,0.14763195880621713,50
momentum,0.0003,full,42,0.13743046081553892,0.15242671591410872,50
momentum,0.0003,full,1337,0.1300740553067166,0.15247879235433973,50
momentum,0.0003,full,31415,0.12065821223472853,0.1527949512373009,50
momentum,0.0003,sgd,42,0.11652327694823632,0.12975896600464273,50
momentum,0.0003,sgd,1337,0.10993934752729262,0.13029584847463124,50
momentum,0.0003,sgd,31415,0.10536755667665235,0.13414513435141187,50
momentum,0.001,full,42,0.13231102191667476,0.14689097793568293,50
momentum,0.001,full,1337,0.12501359614342605,0.14690200326331096,50
momentum,0.001,full,31415,0.11703684493297034,0.14838254658529992,50
momentum,0.003,full,42,0.11989245780827977,0.13344467671707358,50
momentum,0.003,full,1337,0.11336322497186979,0.1339523947774367,50
momentum,0.003,full,31415,0.10920906336331315,0.13875442026529225,50
momentum,0.01,full,42,0.09525738418402,0.10684936406433841,50
momentum,0.01,full,1337,0.08808508802832403,0.10516916072904231,50
momentum,0.01,full,31415,0.08761942089030039,0.11191270404801697,50
momentum,0.03,full,42,4.223255467988532e+21,3.986067921176845e+21,50
momentum,0.03,full,1337,24902421776588.58,22723451235714.15,50
momentum,0.03,full,31415,4.828423039910061e+16,4.55927385879562e+16,50
rmsprop,0.0001,full,42,0.13706539460516434,0.15186292899862483,50
rmsprop,0.0001,full,1337,0.1297338355781905,0.1519960002887841,50
rmsprop,0.0001,full,31415,0.12027376299418653,0.15211380709862882,50
rmsprop,0.0001,sgd,42,0.10406568247256995,0.11663790792451936,50
rmsprop,0.0001,sgd,1337,0.10530056367158515,0.12465996259477113,50
rmsprop,0.0001,sgd,31415,0.09562646934660186,0.12188440606195161,50
rmsprop,0.0003,full,42,0.13629814752084352,0.15011580455679271,50
rmsprop,0.0003,full,1337,0.12887704987607512,0.1496209923391487,50
rmsprop,0.0003,full,31415,0.12169111299046355,0.15108078594719698,50
rmsprop,0.0003,sgd,42,0.007644016431932211,0.009440992177660517,50
