method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N,all_nan
adagrad,3.162277660168379e-06,sgd,42,0.5002584546640223,0.5025885654513739,50,False
adagrad,3.162277660168379e-06,sgd,1337,0.68310047017079,0.5904443209999027,50,False
adagrad,3.162277660168379e-06,sgd,31415,0.5198472507276309,0.5029796642052812,50,False
adagrad,5.623413251903491e-06,full,42,1.7720866365767147,1.537028491843541,50,False
adagrad,5.623413251903491e-06,full,1337,2.3502714665895867,1.9261554024465983,50,False
adagrad,5.623413251903491e-06,full,31415,1.815692794354142,1.6452443366985146,50,False
adagrad,5.623413251903491e-06,sgd,42,0.17057972839579633,0.19803562355711926,50,False
adagrad,5.623413251903491e-06,sgd,1337,0.15598729774627176,0.17669619081175766,50,False
adagrad,5.623413251903491e-06,sgd,31415,0.1471416578822615,0.16856543953727582,50,False
adagrad,1e-05,full,42,1.443063291827449,1.2744677364469543,50,False
adagrad,1e-05,full,1337,1.9255400371024944,1.585037058717214,50,False
adagrad,1e-05,full,31415,1.4841390232871863,1.3582520068084105,50,False
adagrad,1e-05,sgd,42,0.13696116183796833,0.16678296998633546,50,False
adagrad,1e-05,sgd,1337,0.1373258851609538,0.1663812565101222,50,False
adagrad,1e-05,sgd,31415,0.1449330607871041,0.16641149927629023,50,False
adagrad,1.778279410038923e-05,full,42,0.9659193694123864,0.8892860566329932,50,False
adagrad,1.778279410038923e-05,full,1337,1.290252337962813,1.0757715841521545,50,False
adagrad,1.778279410038923e-05,full,31415,0.9937811588608958,0.9311717679874282,50,False
adagrad,1.778279410038923e-05,sgd,42,0.13644303315588582,0.16618060839971108,50,False
adagrad,1.778279410038923e-05,sgd,1337,0.1367737756700683,0.16572885132326737,50,False
adagrad,1.778279410038923e-05,sgd,31415,0.14452570596687922,0.16595024602106723,50,False
adagrad,3.1622776601683795e-05,full,42,0.43412373250777975,0.4452811031179816,50,False
adagrad,3.1622776601683795e-05,full,1337,0.5346862876939256,0.47081598286379533,50,False
adagrad,3.1622776601683795e-05,full,31415,0.4224622138879651,0.4192998218624611,50,False
adagrad,3.1622776601683795e-05,sgd,42,0.13554056625788163,0.16513200799906144,50,False
adagrad,3.1622776601683795e-05,sgd,1337,0.13575135992315793,0.16452326924555088,50,False
adagrad,3.1622776601683795e-05,sgd,31415,0.14380327018632275,0.16513072774592888,50,False
adagrad,5.623413251903491e-05,full,42,0.13938018148084852,0.16852885609796256,50,False
adagrad,5.623413251903491e-05,full,1337,0.13742119281789938,0.16646818690129636,50,False
adagrad,5.623413251903491e-05,full,31415,0.1449691494054899,0.16728162940996863,50,False
adagrad,5.623413251903491e-05,sgd,42,0.13399604847658758,0.16333776354968002,50,False
adagrad,5.623413251903491e-05,sgd,1337,0.13394001133716782,0.1623637294418085,50,False
adagrad,5.623413251903491e-05,sgd,31415,0.14252892284001864,0.163671492083338,50,False
adagrad,0.0001,full,42,0.1366133421360903,0.16615471664098144,50,False
