epoch,avg_train_mse,std_train_mse,avg_val_mse,std_val_mse
0,2.4637676941015143,2.4539081318541762,2.4931978792545495,2.466755517378243
1,0.14679190100421527,0.08984270935033824,0.14994300942503966,0.09362822469013565
2,0.08616604332306142,0.04304367711346969,0.08748199492650806,0.04202097797399386
3,0.07476348433003606,0.03996062320259089,0.07654170847091048,0.042436211966588325
4,0.07582142242132589,0.03585602296965961,0.07704211969618169,0.03550139344719742
5,0.06725289634243227,0.03118609507093425,0.06917595082513817,0.03339362185422058
6,0.05860780549578523,0.03402179249383821,0.05945136043534778,0.03384546393839257
7,0.05649664982693313,0.034172884224186836,0.05759980280250392,0.03458766410044384
8,0.05188485115664492,0.021197109603107802,0.05327005914893949,0.023126567783855443
9,0.04776208332491955,0.02459064953791545,0.04931781769093183,0.025363940194166185
10,0.04976811029947657,0.034273629434575216,0.05075447615714871,0.034341005619268124
11,0.042141197338148396,0.025630821145244124,0.043249107239857816,0.025315082418351238
12,0.04561328687485743,0.033535818388215115,0.0457814847805498,0.032130820089400595
13,0.053858915387833724,0.03475694908441079,0.053989721314844294,0.033168489348739685
14,0.03981030504634916,0.02564119615499826,0.041288331471504534,0.02721646983660293
15,0.040898383738366025,0.02927773683557327,0.04197677596297473,0.0306625412944341
16,0.03469868240103755,0.017222721007074736,0.034961051129162396,0.017407943421186584
17,0.0388339206238426,0.02682823557251619,0.03941810886152545,0.026851540022139516
18,0.03956079764811662,0.0278517180554036,0.040102361239242934,0.02851734453541662
19,0.0361334245855078,0.025627063227151158,0.03692076384054168,0.025357610064576097
20,0.03239168774269405,0.026849726518831107,0.03322778534824899,0.029944348293790824
21,0.03503568510746856,0.030404025546181,0.03607091156406538,0.03095650029629517
22,0.038759249980193394,0.028717534865211006,0.03916279619850236,0.030519014685547588
23,0.025759020745453536,0.013622243310770303,0.026490061124331124,0.013672337584468
24,0.046816136087048696,0.03532481378493673,0.046713110221869414,0.034684278884489494
25,0.02924564167827382,0.02331725421955473,0.030808793755054836,0.02600240483485967
26,0.03019211844011873,0.02154852588083108,0.030563083802894978,0.02150990517940918
27,0.03149580722178771,0.021533111672966784,0.03248618310334648,0.022416946296901472
28,0.027964262315262372,0.0225178992690701,0.029359506057845677,0.02433689855791775
29,0.03853832729853938,0.03434324837387119,0.03983357578400451,0.03726833621687344
30,0.02696925573195822,0.02176124934726881,0.027608213874406425,0.021635805262493302
31,0.02301730213501829,0.015268840190842571,0.023439656074596908,0.015361675416188885
32,0.029882714688594197,0.023979442815274508,0.030143733035000803,0.024407875353243912
33,0.039396468765019836,0.039985290572444696,0.039401767786036296,0.03956608902549674
34,0.03691206007236988,0.03619518145659549,0.03823692762386862,0.03913333111342732
35,0.027839545646060764,0.027180993528359135,0.027839753744915915,0.0261105604465384
36,0.033477254807179,0.031919910081667745,0.033207275786163774,0.030726236060330266
37,0.03109540789150819,0.030204483793672236,0.03208478696554603,0.03173781472844874
38,0.02192769456669127,0.018799984154062522,0.021656850668219048,0.01774965742314105
39,0.031476245085124054,0.029168275824050904,0.030001952922750263,0.026512150070111908
40,0.023029797866113956,0.019840998588461552,0.022830566883389747,0.01930836144128
41,0.027786483795982773,0.027803021807116676,0.028515396813664898,0.030826288390750457
42,0.02593926249908317,0.024556960993496538,0.02590423095973543,0.0241688093020212
43,0.02880122736491746,0.030538679828946143,0.028864555611106554,0.031053985316756863
44,0.019793283423032867,0.0202749219178366,0.0196736394402544,0.019957344628082855
45,0.02302854363254221,0.020573990962164126,0.02301688381844143,0.019488172191229825
46,0.026076677889509584,0.024245062572726486,0.026606731066155267,0.025882081539564714
47,0.022151631770518623,0.023215811829035805,0.022592028311158856,0.02468460389979163
48,0.019896087224112794,0.020629546575594678,0.01911303140762779,0.018475308739531602
49,0.021523160764680672,0.022784816630843304,0.021309876666441636,0.021602264027251232
50,0.020253179528247085,0.02030806947654792,0.02050952189736986,0.02103525393827224
51,0.02465587784100622,0.01910362101062208,0.024683636843990133,0.01876021411407784
52,0.022694253168277605,0.026218330353215826,0.022748351712929785,0.02729097347430514
53,0.0261923618772072,0.024685286861357326,0.02507896516925318,0.022043788998380737
54,0.019418009636832528,0.018011304334822138,0.019268707707185355,0.01785968737547374
55,0.019486202704321057,0.01876379125505479,0.019838431834457267,0.019280870992066355
56,0.022626924194447284,0.02652206146749266,0.02317309569620864,0.02828997348805217
57,0.01853230209173573,0.018450827302382466,0.019046801803971558,0.018283005291633923
58,0.021246250852085112,0.01943364402086837,0.021030230299956744,0.018509976298013337
59,0.022602275978012516,0.026604681101079962,0.022516811346519585,0.026192821726495757
60,0.017860393410422958,0.016923243095510753,0.017651844242208788,0.015872158398059773
61,0.017387881802724558,0.014677731569498503,0.01750007062633483,0.014654208091107032
62,0.017838246913812795,0.02013519776918376,0.01780178812623105,0.01962145409043134
63,0.01908106307080191,0.020053505516169415,0.01999976776952061,0.022725213928255265
64,0.013219358455994415,0.014434477068437495,0.012935035702318888,0.01305028473943523
65,0.0158570067936788,0.016340603590123483,0.01578864995733774,0.01581902018231566
66,0.0176522011070891,0.018257789793733104,0.01821124386951357,0.01928120858471858
67,0.013726062687049958,0.012675897699416301,0.01378430872448516,0.012247621468226765
68,0.01264863240977246,0.01364836579213705,0.012600594529870791,0.01451390954294126
