model,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std,train_mae_mean,train_mae_std,test_mae_mean,test_mae_std,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,train_evs_mean,train_evs_std,test_evs_mean,test_evs_std,train_adjR2_mean,train_adjR2_std,test_adjR2_mean,test_adjR2_std
OLS,0.0024517132620298443,9.122779951590875e-05,0.002485708949524443,0.00016904066894986677,0.9699872687925989,0.001374980268878043,0.9696331207718641,0.003073433746887789,0.039768872717635816,0.000842405250616846,0.040048236685679285,0.0014405972046044565,0.049506508413723796,0.0009203934944133427,0.049828615754665524,0.0017073880530809593,0.9699872687925989,0.001374980268878043,0.9697053727313542,0.003028809716048756,0.9696548014781161,0.0013902116716551444,0.9689415355306438,0.0031434291324276852
Ridge,0.0024538818102177668,9.138523225321745e-05,0.0024853613363978733,0.00017120086381453576,0.9699609242206145,0.0013727216006867245,0.969640853929172,0.0030538011878522286,0.03968501231511903,0.0008459003697779738,0.03994135077821871,0.0014842998971437507,0.049528382962652606,0.0009216316056173327,0.04982436351401332,0.0017302990038592253,0.9699609242206145,0.0013727216006867245,0.9697142976934183,0.0030066747429436584,0.9696281650730081,0.0013879279829702616,0.9689494448054057,0.003123349455070397
Lasso,0.005238684993902576,0.0001768389454928001,0.005287039463618974,0.00040676111707726466,0.9359013809857666,0.001891677684051985,0.9355969296884422,0.004660875030648185,0.057917303589459485,0.0011951620417750644,0.05831982289844894,0.0024151155388006562,0.07236874985751456,0.0012243385109412528,0.0726595706090843,0.0028087785765713515,0.9359021602967181,0.0018920456860834305,0.935834217341398,0.004518043666918118,0.9351913257902411,0.001912632824560121,0.9341301930974958,0.00476702332327164
FFNN,0.0013185301551245446,0.0003720407631667083,0.001345411197643184,0.0003298394975573073,0.9838969940047174,0.004330571311350031,0.9834946039999646,0.004550055711291003,0.02854023227625919,0.003272965303031775,0.028937216419406622,0.003207348554879058,0.0360291843155368,0.004597004198570834,0.03644506030997193,0.004214356822408222,0.9849175210457177,0.0034633968001138676,0.9845199791313336,0.0037168137457205914,,,,
